CDS_number,VF_number,Length_bp,Description,1000ng_NoRibo,500ng_NoRibo,100ng_NoRibo,1000ng_Ribodpl,500ng_Ribodpl,100ng_Ribodpl,50ng_Ribodpl,25ng_Ribodpl,10ng_Ribodpl,5ng_Ribodpl_17cyc,5ng_Ribodpl_15cyc,2ng_Ribodpl_17cyc,2ng_Ribodpl_15cyc,1ng_Ribodpl_17cyc,1ng_Ribodpl_15cyc
c1cds802,VF_0812,528,flavodoxin FldA,485,598,725,772,809,653,2433,220,886,1333,1067,693,345,239,111
c1cds803,VF_0813,222,hypothetical protein,124,167,106,146,131,102,442,53,185,342,226,156,55,20,29
c1cds804,VF_0814,777,esterase%2Flipase YbfF,196,196,154,164,144,83,315,29,124,395,156,129,76,47,4
c1cds805,VF_0815,543,replication initiation regulator SeqA,701,739,752,637,715,545,2418,122,754,765,902,530,367,148,129
c1cds806,VF_0816,1647,phosphoglucomutase,3694,4856,4997,4945,4699,3467,12333,888,4597,5838,5364,3587,1814,1334,624
c1cds807,VF_0817,756,metal-binding protein,678,632,473,336,323,213,639,45,283,496,524,303,186,96,20
c1cds808,VF_0818,1290,type II citrate synthase,4169,5256,5249,5029,4880,3504,12520,959,4417,7352,6501,3642,2453,1121,702
c1cds809,VF_0819,402,succinate dehydrogenase cytochrome b556 large membrane subunit,1367,1710,1594,1410,1476,1022,3508,246,1280,2358,2249,1248,889,357,170
c1cds810,VF_0820,348,succinate dehydrogenase%2C membrane subunit%2C binds cytochrome b556,665,720,589,526,497,338,638,61,421,424,449,209,168,57,57
c1cds811,VF_0821,1770,succinate dehydrogenase flavoprotein subunit,5015,6093,6290,4551,4162,3492,13522,946,4668,7383,6925,4709,2787,1279,934
c1cds812,VF_0822,714,succinate dehydrogenase iron-sulfur subunit,1963,2203,2129,1731,1688,1372,5034,433,1980,2492,2721,1789,1098,513,278
c1cds813,VF_0823,2817,2-oxoglutarate dehydrogenase E1,12405,14334,13587,13161,12649,9558,34421,2683,12137,18731,18324,11874,6806,3310,1958
c1cds814,VF_0824,1212,dihydrolipoamide succinyltransferase,7900,8842,8577,8657,8163,5665,19516,1471,6664,10047,9271,6251,3562,1535,1006
c1cds815,VF_0825,1167,succinyl-CoA synthetase subunit beta,6506,7492,6294,4808,4626,3434,12458,890,4555,7038,6866,3996,2637,1429,974
c1cds816,VF_0826,873,succinyl-CoA synthetase subunit alpha,5320,5908,5614,4659,4288,3198,10745,787,3695,6824,6655,4136,2572,1131,918
c1cds817,VF_0827,1656,methyl-accepting chemotaxis protein,178,213,201,204,193,171,431,45,219,177,206,85,60,24,2
c1cds818,VF_0828,786,zinc ABC transporter membrane protein,30,31,15,31,21,28,54,4,21,15,31,12,10,0,5
c1cds819,VF_0829,771,zinc ABC transporter ATP-binding protein,92,90,64,54,58,38,118,8,55,30,30,10,0,0,34
c1cds820,VF_0830,894,zinc ABC transporter periplasmic substrate-binding protein,202,178,159,114,120,86,273,16,130,144,147,136,66,21,29
c1cds821,VF_0831,1341,peptidase,343,366,312,291,262,202,585,40,179,330,313,188,118,55,21
c1cds822,VF_0832,3408,hypothetical protein,555,507,472,480,438,313,781,84,422,478,448,198,99,33,37
c1cds823,VF_0833,228,ferrous ion transport protein A,34,25,45,38,28,12,98,5,18,44,39,47,2,4,4
c1cds824,VF_0834,2277,bifunctional ferrous iron transporter%2C protein B%2F GTP-binding protein%2Fmembrane protein,342,433,421,485,406,312,1120,108,367,574,410,308,115,62,91
c1cds825,VF_0835,243,hypothetical protein,55,50,56,32,22,17,172,9,62,14,36,33,17,0,11
c1cds826,VF_0836,2166,phosphate acetyltransferase,3246,4097,4043,3618,3438,2472,8651,604,2937,4585,4518,2642,1432,948,494
c1cds827,VF_0837,1197,acetate kinase,3198,4055,4049,3905,3746,2813,12289,796,3806,5363,5183,3033,1906,953,614
c1cds828,VF_0838,450,hypothetical protein,2686,2465,1837,1764,1826,1152,5586,361,1803,2593,2424,1728,1113,473,322
c1cds829,VF_0839,1734,arginyl-tRNA synthetase,1374,1828,1954,1914,1898,1431,4841,368,1600,2339,2347,1484,1013,431,267
c1cds830,VF_0840,597,hypothetical protein,222,169,183,165,143,98,349,21,60,197,256,198,79,17,18
c1cds831,VF_0841,1233,dehydrogenase,285,333,289,274,277,195,696,63,288,396,333,214,152,49,21
c1cds832,VF_0842,1068,O-methyltransferase,1010,1146,1016,947,949,604,2080,166,744,1168,1101,455,257,223,118
c1cds833,VF_0843,576,lipoprotein,612,513,347,296,292,205,647,62,235,479,341,232,110,60,31
c1cds834,VF_0844,729,hypothetical protein,458,468,377,412,415,260,696,54,248,313,248,187,92,35,14
c1cds835,VF_0845,798,1-acyl-sn-glycerol-3-phosphate acyltransferase,186,187,201,159,174,100,434,36,134,94,88,111,47,32,15
c1cds836,VF_0846,297,acyl carrier protein,204,227,205,204,198,174,611,80,223,236,358,97,89,113,3
c1cds837,VF_0847,258,acyl carrier protein,244,281,375,424,538,307,723,60,333,428,322,220,101,45,5
c1cds838,VF_0848,561,DNA gyrase subunit B,127,135,146,156,152,96,443,44,176,178,228,108,50,42,27
c1cds839,VF_0849,1404,AMP-%28fatty%29acid ligase,222,212,196,148,152,94,485,21,128,236,291,137,103,5,17
c1cds840,VF_0850,375,AMP-%28fatty%29acid ligase,109,103,69,58,71,44,79,4,23,17,13,24,0,4,8
c1cds841,VF_0851,1692,acyltransferase,533,681,548,572,509,355,1210,92,406,519,557,342,191,61,66
c1cds842,VF_0852,1536,phenylalanine and histidine ammonia-lyase,2086,2145,1962,1953,1825,1285,3576,280,1253,1882,1833,1082,813,420,250
c1cds843,VF_0853,447,esterase,250,298,298,324,317,220,966,90,328,358,474,315,225,129,23
c1cds844,VF_0854,621,hypothetical protein,255,268,319,248,291,232,709,71,355,337,282,222,48,65,60
c1cds845,VF_0855,1896,transporter,277,344,261,258,228,159,533,31,171,271,210,129,108,8,37
c1cds846,VF_0856,627,phospho-N-acetylmuramoyl-pentapeptide-transferase,167,170,173,141,144,105,361,31,123,187,181,113,61,71,26
c1cds847,VF_0857,1188,3-oxoacyl-ACP synthase,398,501,437,461,450,317,1410,94,447,610,572,481,111,140,100
c1cds848,VF_0858,471,3-hydroxylacyl-ACP dehydratase,600,490,364,323,275,185,561,33,223,416,410,224,218,74,61
c1cds849,VF_0859,726,3-ketoacyl-ACP reductase,1254,1381,1226,1054,977,705,2608,149,913,1616,1357,845,711,436,235
c1cds850,VF_0860,1236,3-oxoacyl-ACP synthase,1578,1891,1746,1728,1566,1126,3873,384,1410,2234,2081,1220,849,396,245
c1cds851,VF_0861,444,heat shock protein HslJ,2748,3075,2666,2724,2599,1654,7816,508,2317,3279,3663,1760,977,656,452
c1cds852,VF_0862,279,50S ribosomal protein L25,12636,15549,13621,12882,13630,9931,41249,2817,12520,18634,18595,9163,6328,2485,2113
c1cds853,VF_0863,426,hypothetical protein,373,373,315,293,281,203,806,54,149,303,288,280,176,15,63
c1cds854,VF_0864,1725,ATP-dependet helicase,85,109,79,81,85,51,183,23,79,179,101,109,44,9,15
c1cds855,VF_0865,1548,hydrolase,292,318,251,286,214,147,591,23,186,414,271,125,71,31,35
c1cds856,VF_0866,675,hypothetical protein,1,5,6,6,1,2,9,1,0,0,0,0,0,1,0
c1cds857,VF_0867,624,lipoprotein,19,21,12,11,9,10,43,4,16,2,3,20,2,3,4
c1cds858,VF_0868,504,hypothetical protein,94,127,128,120,94,85,339,25,173,77,112,85,13,10,6
c1cds859,VF_0869,294,hypothetical protein,39,33,43,25,30,13,89,10,32,3,8,10,3,1,1
c1cds860,VF_0870,573,acetyltransferase,21,41,34,26,16,11,29,3,7,0,20,21,0,0,2
c1cds861,VF_0871,543,TetR family transcriptional regulator,106,102,70,72,72,45,310,28,53,74,80,66,18,1,0
c1cds862,VF_0872,1089,methyl-accepting chemotaxis protein,75,85,76,57,67,29,120,6,44,45,89,33,0,3,0
c1cds863,VF_0873,387,hypothetical protein,75,82,111,93,110,78,389,33,167,179,115,125,68,12,7
c1cds864,VF_0874,900,preprotein translocase subunit SecF,35,50,58,78,73,51,185,17,75,82,115,51,27,15,12
c1cds865,VF_0875,1824,preprotein translocase subunit SecD,108,139,118,114,109,66,305,26,61,220,80,94,120,20,30
c1cds866,VF_0876,537,hypothetical protein,86,133,125,76,76,39,211,4,50,73,30,24,13,2,3
c1cds867,VF_0877,906,LysR family transcriptional regulator,73,75,66,45,59,28,143,8,57,17,50,18,18,10,1
c1cds868,VF_0878,1041,EmrKY-TolC multidrug resistance efflux pump%2C membrane fusion protein component,199,247,182,149,155,104,476,30,171,239,240,162,62,17,9
c1cds869,VF_0879,1602,multidrug efflux system protein,96,162,151,112,106,84,292,7,144,155,170,95,132,60,3
c1cds870,VF_0880,705,16S rRNA pseudouridylate 516 synthase,275,296,304,274,280,179,779,55,254,296,335,244,66,81,44
c1cds871,VF_0881,1206,bicyclomycin%2Fmultidrug efflux system protein,112,169,166,157,138,102,438,26,221,400,244,145,92,55,32
c1cds872,VF_0882,681,hypothetical protein,395,248,236,241,223,163,482,56,229,248,330,265,84,52,12
c1cds873,VF_0883,1443,hypothetical protein,197,197,199,158,177,124,457,49,147,269,196,184,87,53,34
c1cds874,VF_0884,672,ABC transporter ATP-binding protein,128,164,96,105,94,55,291,11,70,305,194,115,120,19,74
c1cds875,VF_0885,2454,ABC transporter permease,158,150,136,124,129,74,268,14,79,115,162,43,92,43,14
c1cds876,VF_0886,1122,hypothetical protein,108,122,129,127,99,72,304,24,108,110,139,114,46,36,12
c1cds877,VF_0887,1149,pH-dependent sodium%2Fproton antiporter,882,1075,1180,1129,1154,878,3156,255,1319,1458,1705,859,495,279,195
c1cds878,VF_0888,1203,trans-2-enoyl-CoA reductase,6128,7567,7566,6589,6438,4932,18324,1379,6960,9737,9921,5833,3367,1694,1062
c1cds879,VF_0889,1683,hypothetical protein,152,221,234,220,175,134,541,40,151,316,271,201,86,64,56
c1cds880,VF_0890,264,glutaredoxin,475,565,606,604,496,361,1529,100,532,897,854,434,209,145,181
c1cds881,VF_0891,858,DNA-binding transcriptional regulator HexR,406,489,541,485,499,340,1241,111,359,432,455,297,181,113,68
c1cds882,VF_0892,1644,glutamate decarboxylase,490,549,561,579,573,374,1245,99,457,424,400,325,216,88,31
c1cds883,VF_0893,513,hypothetical protein,607,704,579,504,463,296,769,67,219,395,345,129,197,125,21
c1cds884,VF_0894,900,transporter,47,66,81,53,64,33,170,9,100,55,81,35,10,16,10
c1cds885,VF_0895,924,hypothetical protein,562,666,451,404,402,225,770,52,271,449,395,252,115,65,28
c1cds886,VF_0896,630,DNA transformation protein TfoX1 %28Sxy%29,850,742,600,449,402,297,1175,87,469,654,556,417,158,165,53
c1cds887,VF_0897,549,hypothetical protein,784,1083,1178,1126,1184,767,2942,228,917,1286,1826,843,579,267,139
c1cds888,VF_0898,1302,lipoprotein,1462,1446,1299,1252,1233,931,2760,284,1233,1568,1422,913,633,211,93
c1cds889,VF_0899,1083,phosphoserine aminotransferase,506,623,634,575,616,510,2111,164,720,961,917,535,371,189,92
c1cds890,VF_0900,1722,cysteine%2Fglutathione ABC transporter membrane%2FATP-binding protein,614,838,848,837,776,641,2120,178,683,1005,1088,682,376,176,101
c1cds891,VF_0901,1773,cysteine%2Fglutathione ABC transporter membrane%2FATP-binding protein,644,803,789,693,678,462,1580,130,525,806,770,546,240,222,65
c1cds892,VF_0902,966,thioredoxin reductase,2332,2672,2467,2296,2255,1543,5798,393,1990,3553,3554,2235,1235,585,346
c1cds893,VF_0903,1119,alanine dehydrogenase,12451,12647,10363,7358,6837,4325,13326,808,4719,7291,7911,4595,2811,1742,983
c1cds894,VF_0904,492,leucine-responsive transcriptional regulator,760,993,943,951,1033,677,2184,183,843,1178,836,557,331,202,76
c1cds895,VF_0905,3435,DNA-binding membrane protein,1266,1512,1366,1412,1244,970,3938,288,1284,1948,1814,1145,752,369,181
c1cds896,VF_0906,597,outer-membrane lipoprotein carrier protein,515,517,466,513,442,300,1247,108,361,690,575,299,184,99,12
c1cds897,VF_0907,1347,recombination factor protein RarA,341,457,359,376,355,226,793,53,292,450,319,229,120,106,54
c1cds898,VF_0908,1308,seryl-tRNA synthetase,4464,5493,5740,5946,5912,4626,17657,1288,5786,8706,8774,5084,3053,1526,1007
c1cds899,VF_0909,435,thioredoxin,628,671,524,535,517,350,923,55,355,778,549,305,224,41,28
c1cds900,VF_0910,324,dsDNA-mimic protein,175,200,182,172,163,114,520,46,157,121,89,82,7,24,12
c1cds901,VF_0911,1305,inosine%2Fguanosine kinase,299,368,362,416,381,299,1076,74,394,504,542,305,200,100,43
c1cds902,VF_0912,876,hypothetical protein,543,686,611,681,654,440,1348,107,445,818,822,419,407,132,125
c1cds903,VF_0913,996,glyceraldehyde-3-phosphate dehydrogenase,37260,51515,58169,61094,59034,46788,142531,10732,54897,73407,72156,39884,24463,11541,7327
c1cds904,VF_0914,408,methionine sulfoxide reductase B,479,380,335,337,373,276,1032,86,336,400,355,315,229,70,89
c1cds905,VF_0915,843,hypothetical protein,735,669,563,531,575,389,760,89,394,416,289,175,130,74,66
c1cds906,VF_0916,288,general negative regulator of transcription subunit 1,590,510,346,120,106,64,283,14,80,220,330,170,100,29,19
c1cds907,VF_2596,150,hypothetical protein,149,185,117,105,80,46,143,5,71,7,33,72,1,31,0
c1cds908,VF_0917,861,cation transporter%2C voltage-gated ion channel cation transporter,100,95,100,107,100,53,329,22,73,127,103,73,39,14,5
c1cds909,VF_0918,2502,bifunctional acetaldehyde-CoA dehydrogenase%2Firon-dependent alcohol dehydrogenase%2Fpyruvate-formate lyase deactivase,55022,64843,61224,60535,58021,41793,150923,11210,53103,80284,79793,44507,27045,14098,8429
c1cds910,VF_0919,672,short chain dehydrogenase,545,727,645,635,613,391,736,61,379,356,280,255,209,72,59
c1cds911,VF_0920,507,hypothetical protein,612,661,551,496,539,270,1761,147,589,1190,830,687,407,74,108
c1cds912,VF_0921,585,superoxide dismutase%2C Fe,13358,15621,14682,14388,14595,10398,43363,2489,13815,22277,20042,14242,8085,3946,2624
c1cds913,VF_0922,336,glutaredoxin,848,1089,942,1102,1060,754,2443,161,892,1015,1081,582,185,111,92
c1cds914,VF_0923,1320,response regulator receiver domain-containing protein,210,245,217,167,170,107,389,25,137,94,176,143,84,3,15
c1cds915,VF_0924,1329,transporter,224,315,308,264,241,190,673,48,279,241,267,100,80,35,32
c1cds916,VF_0925,669,ribonuclease T,123,137,90,97,98,57,254,23,102,89,190,50,112,15,18
c1cds917,VF_0926,879,flagellar motor protein MotY,150,153,170,187,149,135,563,62,180,246,169,198,138,64,8
c1cds918,VF_0927,435,hypothetical protein,22,29,22,21,10,12,35,5,17,5,18,5,7,0,0
c1cds919,VF_0928,417,glyoxalase I%2C Ni-dependent,1569,1640,1525,1152,1104,602,1909,135,688,1161,936,599,203,241,90
c1cds920,VF_0929,636,DNA glycosylase and apyrimidinic %28AP%29 lyase,591,532,402,356,357,279,632,45,179,528,387,251,148,39,49
c1cds921,VF_0930,684,electron transport complex protein RsxE,142,195,220,184,177,134,556,78,222,198,145,183,37,11,32
c1cds922,VF_0931,633,electron transport complex protein RnfG,229,282,246,222,187,153,464,33,194,201,238,184,116,53,4
c1cds923,VF_0932,996,inner membrane oxidoreductase %28Rnf%2FRsx reducing system%29,307,298,249,203,226,169,348,32,183,221,216,119,89,72,36
c1cds924,VF_0933,2484,electron transport complex protein RnfC,676,812,735,636,524,324,1322,90,484,620,790,419,240,269,87
c1cds925,VF_0934,585,electron transport complex protein RnfB,118,152,152,118,134,76,270,11,154,161,139,91,34,25,5
c1cds926,VF_0935,582,Na%28%2B%29-translocating NADH-quinone reductase subunit E,94,158,113,103,107,81,179,14,95,118,61,31,30,4,8
c1cds927,VF_0936,2031,excinuclease ABC subunit B,886,886,836,786,770,568,1896,159,748,1093,1132,646,488,144,117
c1cds928,VF_0937,1431,autoinducer repressor protein LuxO,380,373,353,304,305,226,814,57,300,332,420,221,148,41,26
c1cds929,VF_0938,357,autoinducer phosphorelay protein LuxU,132,131,97,130,98,75,199,30,90,86,84,57,27,21,5
c1cds930,VF_0939,879,transferase,907,1047,991,851,774,564,2299,156,645,1004,1207,641,544,232,77
c1cds931,VF_0940,990,molybdenum cofactor biosynthesis protein A,382,407,347,347,276,169,957,73,322,648,477,488,293,94,53
c1cds932,VF_0941,480,molybdenum cofactor biosynthesis protein MoaC,279,275,203,191,186,110,331,23,120,145,203,191,73,50,48
c1cds933,VF_0942,246,molybdopterin synthase small subunit,44,68,53,50,50,35,141,13,67,37,52,71,40,71,18
c1cds934,VF_0943,447,molybdopterin synthase%2C large subunit,78,88,102,70,98,64,317,23,111,175,147,66,22,48,24
c1cds935,VF_0944,966,glutathione synthase%2Fribosomal protein S6 modification glutaminyl transferase,1586,1740,1877,1970,1868,1400,5828,436,2112,2604,2991,1692,1238,472,356
c1cds936,VF_0945,1509,hypothetical protein,2544,3069,3111,2975,2780,2113,7435,630,2975,3501,3305,2159,1154,601,365
c1cds937,VF_0946,771,ATP-dependent Zn protease,312,461,401,358,354,246,676,38,317,297,315,185,99,27,30
c1cds938,VF_0947,975,S-adenosyl-L-methionine-dependent methyltransferase,817,826,707,688,737,506,1860,127,610,665,946,511,360,181,98
c1cds939,VF_0948,729,methyltransferase,109,140,153,151,166,110,332,28,140,147,159,89,107,63,7
c1cds940,VF_0949,1776,aspartyl-tRNA synthetase,3595,4737,4586,4468,4466,3292,11207,856,4475,5506,5369,3252,2392,1105,711
c1cds941,VF_0950,522,Holliday junction resolvase,118,100,78,24,18,11,11,0,7,33,21,31,29,0,27
c1cds942,VF_0951,624,Holliday junction DNA helicase RuvA,251,263,238,229,224,160,474,58,140,387,246,153,147,35,35
c1cds943,VF_0952,1014,Holliday junction DNA helicase RuvB,261,270,257,224,230,140,673,55,184,339,289,147,58,16,67
c1cds944,VF_0953,1590,cytochrome d terminal oxidase%2C subunit I,11334,12703,12346,11848,11366,9048,31652,2428,12743,17459,16951,10344,5951,3026,1900
c1cds945,VF_0954,1137,cytochrome d terminal oxidase%2C subunit II,9387,12342,12099,11713,11125,8507,23203,1968,10011,12180,12767,7117,4302,2238,1424
c1cds946,VF_0955,108,cyd operon protein YbgT,229,310,270,233,239,194,334,53,233,423,253,244,88,114,55
c1cds947,VF_0956,303,hypothetical protein,4184,4040,3667,4052,4039,2377,9232,982,4217,3808,3723,2844,1419,842,550
c1cds948,VF_0957,411,acyl-CoA thioesterase,269,233,192,170,179,133,462,43,182,82,173,223,54,19,48
c1cds949,VF_0958,687,membrane spanning protein in TolA-TolQ-TolR complex,261,304,317,290,288,272,793,64,227,344,333,308,79,69,36
c1cds950,VF_0959,447,membrane spanning protein in TolA-TolQ-TolR complex,160,184,151,150,118,119,352,20,106,112,114,48,48,9,0
c1cds951,VF_0960,1041,membrane anchored protein in TolA-TolQ-TolR complex,441,425,351,359,316,192,940,69,191,444,468,280,216,150,17
c1cds952,VF_0962,1353,translocation protein TolB,3421,3611,3404,3665,4032,3074,15446,993,4998,7589,6201,5418,2702,1889,970
c1cds953,VF_0963,567,peptidoglycan-associated outer membrane lipoprotein,7623,11078,12702,14835,15375,11444,55829,3901,17614,21996,20384,14664,8585,4387,2858
c1cds954,VF_0964,759,hypothetical protein,1508,1629,1486,1641,1625,1297,4253,314,1481,2151,1744,1208,932,324,173
c1cds955,VF_0965,1050,quinolinate synthetase,471,557,581,617,616,464,1895,113,632,742,979,645,191,111,65
c1cds956,VF_0966,591,hypothetical protein,749,877,869,808,709,415,1369,114,596,477,761,462,186,133,68
c1cds957,VF_0967,453,hypothetical protein,517,491,364,339,380,235,557,53,319,495,408,320,94,55,55
c1cds958,VF_0968,1056,beta-lactamase family protein,69,72,61,52,53,30,129,8,62,68,60,80,23,30,1
c1cds959,VF_0969,387,potential redox protein,156,190,125,91,97,67,265,23,117,94,123,96,17,16,4
c1cds960,VF_0970,711,C factor cell-cell signaling protein,203,185,128,130,119,84,264,7,69,152,74,26,57,3,3
c1cds961,VF_0971,1359,GTP-binding protein HflX,196,245,282,253,214,150,652,61,179,383,228,215,112,102,25
c1cds962,VF_0972,546,RNA polymerase sigma factor SigZ,274,256,243,185,193,109,460,19,207,214,262,168,72,43,9
c1cds963,VF_0973,1599,glutamate--cysteine ligase,59,64,46,41,36,18,64,9,37,51,77,5,48,5,0
c1cds964,VF_0974,1800,multidrug ABC transporter ATP-binding protein,86,75,72,50,54,39,123,10,39,58,83,22,42,42,14
c1cds965,VF_0975,1818,multidrug ABC transporter ATP-binding protein,129,135,110,95,91,71,139,11,74,105,58,72,32,1,5
c1cds966,VF_0976,1461,glutathione synthetase,349,406,399,371,353,254,896,57,409,414,427,216,91,20,41
c1cds967,VF_2598,234,hypothetical protein,36,50,27,28,20,18,51,7,17,27,40,50,3,9,0
c1cds968,VF_0977,423,acetyltransferase,116,133,104,105,127,74,331,17,137,55,139,62,97,7,10
c1cds969,VF_0978,981,quinone oxidoreductase,165,180,135,140,135,75,263,28,93,75,92,80,22,19,15
c1cds970,VF_0979,318,hypothetical protein,50,65,70,63,60,29,131,4,36,34,19,22,21,20,3
c1cds971,VF_0980,1161,transporter,57,66,78,85,61,49,227,16,72,94,85,34,30,30,3
c1cds972,VF_0981,597,hypothetical protein,95,76,64,52,50,32,125,8,69,53,34,42,47,6,8
c1cds973,VF_0982,858,hypothetical protein,68,72,67,54,53,43,139,14,87,15,46,59,9,2,3
c1cds974,VF_0983,363,lipoprotein,752,724,513,438,390,223,773,59,240,448,493,288,174,71,35
c1cds975,VF_0984,390,lipoprotein,254,273,228,195,161,120,509,30,105,357,225,189,75,102,35
c1cds976,VF_0985,2484,diguanylate cyclase,121,106,82,82,79,59,174,23,98,59,73,20,19,0,11
c1cds977,VF_0986,3162,ClC family chloride transporter,118,114,113,114,93,62,175,17,75,136,88,76,18,14,17
c1cds978,VF_0987,1953,methyl-accepting chemotaxis protein,179,174,128,110,103,58,166,17,69,64,101,127,65,1,1
c1cds979,VF_0988,750,hypothetical protein,179,162,96,94,93,59,214,14,77,97,97,63,45,12,5
c1cds980,VF_0989,1896,diguanylate cyclase %28GGDEF%29%2C inhibitor of flagellar motility,321,294,299,281,271,225,730,46,312,156,235,267,185,24,29
c1cds981,VF_0990,960,serine%2Fthreonine protein kinase,37,33,27,24,19,23,21,4,14,10,20,6,15,0,0
c1cds982,VF_0991,672,protein phosphatase 2C,17,19,13,16,7,8,38,1,8,47,26,12,0,9,9
c1cds983,VF_0993,3522,secretion protein IcmF,63,86,61,47,58,31,107,4,14,12,98,6,17,29,8
c1cds984,VF_0994,834,OmpA family protein,17,33,18,15,15,12,30,5,7,13,19,33,1,0,0
c1cds985,VF_0995,1323,hypothetical protein,63,45,37,30,33,20,60,0,20,1,44,28,17,0,0
c1cds986,,492,lipoprotein,15,27,12,15,11,12,31,0,3,1,9,2,2,0,0
c1cds987,VF_0997,1311,phospho-specific protein-protein interaction motif-containing protein,96,102,78,50,55,31,91,8,15,19,27,15,0,0,1
c1cds988,,129,hypothetical protein,4,5,1,2,0,1,1,0,0,0,0,6,0,0,0
c1cds989,VF_0998,1569,transcriptional regulator,39,38,32,22,37,14,20,0,17,6,11,26,0,1,0
c1cds990,VF_0999,2583,ATP-dependent protease subunit,87,103,65,70,74,45,153,7,45,108,99,53,21,18,3
c1cds991,,1041,quinoprotein dehydrogenase,13,13,7,14,11,9,13,0,0,19,18,13,0,9,1
c1cds992,VF_1001,1752,hypothetical protein,12,15,20,17,13,4,12,0,0,28,6,0,34,1,0
c1cds993,,426,hypothetical protein,9,10,2,5,1,7,10,1,8,2,7,0,1,0,0
c1cds994,VF_1003,1476,hypothetical protein,54,61,53,44,46,27,133,4,38,96,61,23,39,2,0
c1cds995,,501,cytoplasmic protein,7,15,12,9,6,7,28,0,5,0,2,2,0,1,0
c1cds996,VF_1005,1551,hypothetical protein,28,20,26,15,15,10,34,1,15,1,7,6,0,0,0
c1cds997,VF_1006,207,hypothetical protein,18,36,31,20,20,13,27,4,10,32,25,16,0,0,0
c1cds998,VF_1007,552,primosomal replication protein N%27,85,100,88,73,62,34,169,10,33,39,68,50,0,2,19
c1cds999,VF_1008,771,hypothetical protein,53,83,77,77,55,48,136,6,59,120,101,47,24,7,9
c1cds1000,VF_1009,2085,ATP-dependent DNA helicase DinG,200,232,194,186,169,123,473,29,123,344,168,84,67,66,6
c1cds1001,VF_1010,1107,hypothetical protein,4273,5271,5324,4676,4542,3522,8956,801,4136,6359,5343,3631,2272,1245,744
c1cds1002,VF_1011,1059,hypothetical protein,179802,206218,210794,224992,211456,148705,291632,29445,137692,171344,166216,92238,54701,26512,17629
c1cds1003,VF_1012,897,ATP phosphoribosyltransferase,382,370,332,350,318,261,886,64,328,598,367,253,236,70,102
c1cds1004,VF_1013,1320,histidinol dehydrogenase,283,322,332,327,268,232,978,82,364,357,397,229,141,47,42
c1cds1005,VF_1014,1041,histidinol-phosphate aminotransferase,268,335,403,355,342,277,999,65,423,453,366,219,166,33,60
c1cds1006,VF_1015,1074,imidazole glycerol-phosphate dehydratase%2Fhistidinol phosphatase,325,369,363,332,278,224,744,47,252,414,419,269,95,71,15
c1cds1007,VF_1016,615,imidazole glycerol phosphate synthase subunit HisH,150,162,152,165,145,107,412,33,187,249,271,185,145,84,29
c1cds1008,VF_1017,738,1-%285-phosphoribosyl%29-5-%5B%285-phosphoribosylamino%29methylideneamino%5D imidazole-4-carboxamide isomerase,216,305,309,231,208,151,514,32,167,344,281,226,143,72,60
c1cds1009,VF_1018,774,imidazole glycerol phosphate synthase subunit HisF,161,191,152,147,143,100,442,33,126,183,268,162,83,25,7
c1cds1010,VF_1019,621,bifunctional phosphoribosyl-AMP cyclohydrolase%2Fphosphoribosyl-ATP pyrophosphatase,202,258,216,261,242,156,681,53,226,373,386,170,160,118,39
c1cds1011,VF_1020,687,23S rRNA and tRNA pseudouridine synthase,58,66,59,60,42,32,97,3,29,62,35,49,28,1,39
c1cds1012,VF_1021,951,methyltransferase,135,159,133,139,125,81,259,25,98,161,142,96,76,18,26
c1cds1013,VF_1022,399,hypothetical protein,349,372,319,297,283,180,595,56,197,255,274,146,203,29,8
c1cds1014,VF_1023,303,hypothetical protein,240,219,191,191,185,149,569,32,280,305,198,215,186,30,22
c1cds1015,VF_1024,432,hydrolase,65,73,96,78,67,34,149,9,100,96,38,36,14,1,2
c1cds1016,VF_1025,546,intracellular septation protein A,53,55,44,60,54,27,80,5,22,59,0,42,1,0,3
c1cds1017,VF_1026,1257,glutamate%2Faspartate:proton symporter,111,104,95,101,100,77,245,19,114,115,113,69,34,15,12
c1cds1018,VF_1027,807,tryptophan synthase subunit alpha,808,929,808,754,674,497,1763,112,533,938,819,524,198,237,107
c1cds1019,VF_1028,1191,tryptophan synthase subunit beta,1280,1351,1088,862,792,581,1859,116,527,1252,1144,625,418,168,88
c1cds1020,VF_1029,1413,bifunctional indole-3-glycerol phosphate synthase%2Fphosphoribosylanthranilate isomerase,474,501,420,374,376,247,717,63,283,333,380,253,133,24,38
c1cds1021,VF_1031,1008,anthranilate phosphoribosyltransferase,398,447,327,266,256,189,573,43,272,378,376,236,62,29,58
c1cds1022,VF_1032,603,anthranilate synthase component II,241,200,165,140,145,96,307,13,52,122,158,71,63,30,11
c1cds1023,VF_1033,876,component I of anthranilate synthase,249,232,197,160,156,109,248,20,94,257,208,139,169,8,14
c1cds1024,VF_2602,924,component I of anthranilate synthase,142,157,148,108,115,85,189,14,64,45,106,60,105,8,8
c1cds1025,VF_2603,78,trp operon leader peptide,4,3,1,0,1,0,0,0,0,0,0,0,0,8,0
c1cds1026,VF_1034,840,hypothetical protein,1459,1326,1050,706,640,380,1597,85,467,720,815,481,294,240,135
