CDS_number,VF_number,Length_bp,Description,Plk1,Plk2,Plk3,Swt1,Swt2,Swt3,Vnt1,Vnt2,Vnt3
c1cds537,VF_0546,1305,magnesium and cobalt efflux protein CorB,956,1315,1501,1462,925,337,76,314,486
c1cds538,VF_0547,795,CcsA-like protein,1886,1425,1333,1333,684,278,62,516,540
c1cds539,VF_0548,1374,Signal recognition particle %28SRP%29 component with 4.5S RNA %28ffs%29,5991,7958,11329,6031,4943,1335,359,1317,2853
c1cds540,VF_0549,249,30S ribosomal protein S16,8700,11023,12030,18362,13588,5473,165,2441,3417
c1cds541,VF_0550,528,16S rRNA-processing protein RimM,16371,29246,46369,43185,42252,15792,1133,6882,11110
c1cds542,VF_0551,750,tRNA %28guanine-N%281%29-%29-methyltransferase,16742,35815,56053,44785,56577,20550,358,6722,9828
c1cds543,VF_0552,354,50S ribosomal protein L19,12344,23876,35364,34947,42384,11461,404,4134,5464
c1cds544,VF_0553,1074,phospho-2-dehydro-3-deoxyheptonate aldolase,281,247,186,915,569,169,124,298,436
c1cds545,VF_0554,1134,bifunctional chorismate mutase%2Fprephenate dehydrogenase,834,886,949,1609,1538,416,191,814,983
c1cds546,VF_0555,1014,TagE-like protein,395,786,806,1231,898,288,40,301,456
c1cds547,VF_0556,363,hypothetical protein,241,439,345,703,512,122,131,226,262
c1cds548,VF_0557,1668,ABC transporter ATP-binding protein,13458,10633,15180,17226,11454,3166,128,1394,2940
c1cds549,VF_0558,1935,lytic murein transglycosylase%2C soluble,1968,1895,1990,2079,2497,683,286,685,1010
c1cds550,VF_0559,327,Trp operon repressor,202,173,184,175,158,47,5,178,187
c1cds551,VF_0560,513,NTPase,247,327,337,546,370,99,87,172,178
c1cds552,VF_0561,1179,bifunctional chorismate mutase P%2Fprephenate dehydratase,923,1104,1169,2641,1506,515,185,876,950
c1cds553,VF_0562,354,stationary phase translation inhibitor and ribosome stability factor RaiA %28YfiA%29,56885,35900,44287,52370,159333,40465,668,5818,8986
c1cds554,VF_0563,726,lipoprotein component of outer membrane protein assembly complex,1424,1871,1894,2276,1530,614,286,1112,1247
c1cds555,VF_0564,975,23S rRNA pseudouridine synthase D,2100,2626,3211,4514,4193,1147,126,1363,2180
c1cds556,VF_0565,735,hypothetical protein,358,387,567,1145,1098,254,40,227,275
c1cds557,VF_0566,2586,protein disaggregation chaperone,6502,4504,3918,7213,15168,3438,240,1806,4239
c1cds558,VF_0568,408,hypothetical protein,424,117,96,23,28,8,97,58,127
c1cds559,VF_0569,1308,hypothetical protein,123,36,50,38,32,15,167,45,45
c1cds560,,645,hypothetical protein,27,14,13,3,2,5,0,5,4
c1cds561,VF_0571,516,type IV pilin,21,7,9,13,19,11,16,21,12
c1cds562,VF_0572,438,pili subunit PilA1,69,36,30,90,125,40,0,56,45
c1cds563,VF_0573,1152,chromate transport protein,134,119,106,158,83,19,14,80,107
c1cds564,VF_0574,993,LysR family transcriptional regulator,205,192,149,343,330,102,159,163,156
c1cds565,,189,hypothetical protein,15,18,4,39,16,6,0,10,2
c1cds566,VF_0576,1032,2%2C3%2C4%2C5-tetrahydropyridine-2%2C6-carboxylate N-succinyltransferase,769,1104,1437,6947,3191,1126,76,635,907
c1cds567,VF_0577,291,hypothetical protein,547,831,880,2192,1118,298,0,295,302
c1cds568,VF_0578,636,alternative oxidase 1,130,125,135,124,225,48,100,98,140
c1cds569,VF_0579,879,DNA-binding transcriptional regulator,497,192,165,295,261,97,36,195,284
c1cds570,VF_0580,990,hypothetical protein,116,254,272,252,402,107,75,226,239
c1cds571,VF_0581,3420,exonuclease V subunit gamma,731,692,936,2176,2264,594,59,184,280
c1cds572,VF_0582,3627,exonuclease V subunit beta,1408,1974,1977,2793,3554,918,154,374,639
c1cds573,VF_0583,2019,exonuclease V subunit alpha,917,878,1039,1379,1409,391,16,217,359
c1cds574,VF_0584,354,DLP12 prophage%3B multidrug resistance protein,116,154,191,66,63,19,34,161,160
c1cds575,VF_0585,1341,N-acetylglutamate synthase,129,730,2628,104,80,20,0,37,81
c1cds576,VF_0586,384,hypothetical protein,255,318,377,510,540,114,0,123,215
c1cds577,VF_0587,1101,murein transglycosylase A,129,131,213,317,205,44,46,126,160
c1cds578,VF_0588,810,hypothetical protein,50,120,144,458,353,96,29,162,242
c1cds579,VF_0589,426,Fe-S metabolism protein,247,185,241,341,235,53,0,126,191
c1cds580,VF_0590,1233,cysteine sulfinate desulfinase,275,464,519,602,327,92,25,202,313
c1cds581,VF_0591,909,DNA-binding transcriptional activator GcvA,415,636,568,814,455,152,0,459,797
c1cds582,VF_0592,387,hypothetical protein,157,157,148,290,138,41,39,174,216
c1cds583,VF_0593,1092,RNA 2%27-O-ribose methyltransferase,1628,1813,2832,2521,1166,402,150,1068,2131
c1cds584,VF_0594,780,exonuclease IX,791,1008,1059,732,847,202,42,226,329
c1cds585,VF_0595,1359,hypothetical protein,7527,4332,5349,13891,19769,4360,76,638,1206
c1cds586,VF_0596,1563,diguanylate cyclase%2Fphosphodiesterase,508,709,591,2599,1791,601,117,531,539
c1cds587,VF_0597,2247,hypothetical protein,1033,1067,898,1556,615,257,216,249,322
c1cds588,VF_0598,846,7-cyano-7-deazaguanine reductase,1003,1144,1338,1637,1708,359,49,416,719
c1cds589,VF_0599,552,SecY interacting protein Syd,332,606,792,682,386,139,35,273,320
c1cds590,VF_0600,774,hypothetical protein,150,247,387,595,387,96,37,155,230
c1cds591,VF_0601,450,hypothetical protein,484,794,1202,537,366,91,44,185,265
c1cds592,VF_0602,270,hypothetical protein,208,387,482,288,252,55,0,129,161
c1cds593,VF_0603,1356,PTS system%2C cellobiose-utilization IIC component,160,116,144,261,153,60,89,54,85
c1cds594,VF_0604,306,PTS system%2C cellobiose-utilization IIB component,64,20,28,170,130,65,17,10,22
c1cds595,VF_0605,1410,6-phospho-beta-glucosidase,739,291,395,842,926,262,28,102,239
c1cds596,VF_0606,936,glucokinase,299,169,252,412,379,113,76,119,214
c1cds597,VF_0607,324,PTS system cellobiose-specific transporter subunit IIA,128,99,108,204,308,78,37,28,78
c1cds598,VF_0608,1005,LacI family DNA-binding transcriptional repressor,444,466,445,547,475,132,51,298,420
c1cds599,VF_0609,1278,outer membrane protein S,147,165,180,342,173,72,82,76,154
c1cds600,VF_0610,309,hypothetical protein,204,194,262,346,150,69,16,75,70
c1cds601,VF_0611,1038,hypothetical protein,924,1193,1531,1996,1491,573,104,585,905
c1cds602,VF_0612,315,hypothetical protein,176,255,339,224,138,50,80,128,221
c1cds603,VF_0613,780,tRNA pseudouridine synthase C,724,688,1016,829,495,179,110,318,497
c1cds604,VF_0614,804,inositol monophosphatase,274,1411,2644,2153,1031,215,246,2798,2802
c1cds605,VF_0615,726,methyltransferase,353,799,847,2395,1635,469,28,700,1195
c1cds606,VF_0616,507,Fe-S cluster synthesis regulatory protein IscR%2C DNA-binding transcriptional repressor,5171,5461,3562,1711,1798,508,278,3376,4760
c1cds607,VF_0617,1260,cysteine desulfurase,35468,24256,19191,9635,5352,1604,984,9506,11360
c1cds608,VF_0618,384,scaffold protein,23043,27975,24226,3774,3554,809,383,5686,9452
c1cds609,VF_0619,324,Fe-S cluster assembly protein IscA,13266,14751,11823,1873,1045,261,234,1703,2604
c1cds610,VF_0620,516,co-chaperone HscB,1206,2355,1830,840,437,136,8,370,474
c1cds611,VF_0621,1851,chaperone protein HscA,7802,16118,14175,5516,3238,908,122,2252,2442
c1cds612,VF_0622,339,%282Fe-2S%29 ferredoxin,2591,6069,5402,2018,1502,365,345,621,687
c1cds613,VF_0623,201,hypothetical protein,1830,2746,1692,295,277,49,2,270,256
c1cds614,VF_0624,1287,aminopeptidase,7612,12587,13992,12007,13762,3532,219,1345,2158
c1cds615,VF_0625,435,nucleoside diphosphate kinase,1394,844,769,5855,4894,1567,40,633,578
c1cds616,VF_0626,1119,ribosomal RNA large subunit methyltransferase N,214,893,1317,2130,1378,401,104,907,1285
c1cds617,VF_0627,633,type IV pilus biogenesis%2Fstability protein,415,728,1040,899,890,259,13,324,436
c1cds618,VF_0628,915,hypothetical protein,1073,1608,2274,2979,2652,788,286,781,1204
c1cds619,VF_0629,1119,4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase,1681,2101,3150,3427,2784,840,48,511,852
c1cds620,VF_0630,1269,histidyl-tRNA synthetase,3754,4424,6024,6138,5460,1400,172,1324,3017
c1cds621,VF_0631,612,hypothetical protein,2434,3003,4262,4044,3567,1029,125,1016,2372
c1cds622,VF_0632,1158,outer membrane protein assembly complex subunit YfgL,6776,7050,9521,8376,6945,1654,158,1929,4780
c1cds623,VF_0633,1503,GTP-binding protein EngA,3688,4097,5287,4863,2405,598,210,1595,3388
c1cds624,VF_0634,876,metal-dependent hydrolase,502,342,382,388,301,116,64,146,289
c1cds625,VF_0635,234,hypothetical protein,1154,1005,735,846,3015,732,47,599,870
c1cds626,VF_0636,1350,exodeoxyribonuclease VII large subunit,695,2071,2116,834,365,91,32,659,701
c1cds627,VF_0637,1464,inosine 5%27-monophosphate dehydrogenase,1058,3633,4828,5916,3858,766,129,1705,1798
c1cds628,VF_0638,1554,GMP synthase,1873,3355,4683,6683,4150,731,174,1813,1505
c1cds629,VF_0639,1560,aminobenzoyl-glutamate transport protein,546,315,470,1101,429,169,88,183,206
c1cds630,VF_0640,636,hypothetical protein,227,465,481,477,402,147,69,159,197
c1cds631,VF_0641,1278,hypothetical protein,229,220,230,1267,1366,475,35,159,290
c1cds632,VF_0642,381,endoribonuclease L-PSP,19,38,16,834,364,135,0,23,20
c1cds633,VF_0643,1305,serine transporter,178,214,152,390,280,158,47,145,137
c1cds634,VF_0644,843,esterase,3064,2745,2757,549,506,129,98,1196,2561
c1cds635,VF_0645,1149,alcohol dehydrogenase,14365,8657,10060,859,1244,270,111,2052,6003
c1cds636,VF_2594,375,hypothetical protein,171,102,104,222,107,28,0,147,103
c1cds637,VF_0646,600,periplasmic protein disulfide isomerase%2C DsbA-like protein,1761,808,837,1149,1385,394,225,706,1152
c1cds638,VF_0647,1278,proton%2Fsodium-glutamate symport protein,882,686,662,122,92,25,50,165,339
c1cds639,VF_0648,1149,glutathione-dependent formaldehyde dehydrogenase,14811,9327,11495,777,1117,250,134,2056,6468
c1cds640,VF_0649,873,LysR family transcriptional regulator,193,359,370,769,770,177,55,194,283
c1cds641,VF_0650,516,tRNA-specific adenosine deaminase,566,487,797,348,282,106,66,175,288
c1cds642,VF_0651,1488,transglycosylase,487,878,928,2963,1378,478,50,454,612
c1cds643,VF_0652,3912,phosphoribosylformylglycinamidine synthase,310,554,737,4668,2936,688,123,423,622
c1cds644,VF_0653,510,23S rRNA methyltransferase,470,740,983,629,485,136,69,506,695
c1cds645,VF_0654,321,hypothetical protein,1005,1764,2611,1132,600,205,102,743,915
c1cds646,VF_0655,2541,endochitinase,6198,2384,3983,382,339,113,244,799,1756
c1cds647,VF_0656,486,transcription elongation factor,72,191,246,222,208,54,19,139,221
c1cds648,VF_0657,1095,succinylglutamate desuccinylase%2Faspartoacylase family protein,6662,6540,8953,3520,2947,749,327,2268,4744
c1cds649,VF_0658,906,ribosomal protein S6 modification protein,4140,5441,7076,1271,1293,260,311,1460,3464
c1cds650,VF_0659,441,ribosomal protein S6 modification protein,2427,3088,3131,472,549,142,110,806,1838
c1cds651,VF_0660,1344,sodium-dependent transporter,280,298,231,112,106,31,119,228,278
c1cds652,VF_0661,189,hypothetical protein,505,282,314,239,340,103,15,172,157
c1cds653,VF_0662,219,hypothetical protein,156,75,61,174,125,35,0,35,34
c1cds654,VF_0663,894,N-acetylneuraminate lyase,206,503,459,9192,7929,3059,2,289,431
c1cds655,VF_0664,879,DNA-binding transcriptional repressor,560,1382,1332,1972,2211,813,78,548,636
c1cds656,VF_0665,1161,N-acetylglucosamine-6-phosphate deacetylase,288,457,485,4271,4286,1267,109,216,330
c1cds657,VF_0666,738,N-acetylmannosamine-6-phosphate 2-epimerase,14,73,68,2106,4784,1888,35,48,55
c1cds658,VF_0667,876,N-acetylmannosamine kinase,24,63,52,1167,2631,948,22,23,34
c1cds659,VF_0668,1518,N-acetylneuraminate transporter%2C sodium-glucose%2Fgalactose cotransporter,64,106,101,3752,4194,1200,39,75,95
c1cds660,VF_0669,471,hypothetical protein,115,175,145,1802,2009,355,23,64,110
c1cds661,VF_0670,621,urease accessory protein UreG,71,71,94,427,438,143,0,29,26
c1cds662,VF_0671,666,urease accessory protein UreF,35,41,74,245,223,71,0,21,29
c1cds663,VF_0672,492,urease accessory protein UreE,53,24,49,279,200,70,0,20,20
c1cds664,VF_0673,1704,urease subunit alpha,183,125,173,833,834,224,1,55,46
c1cds665,VF_0674,357,urea amidohydrolase%2C beta subunit,27,10,24,66,93,21,0,7,10
c1cds666,VF_0675,303,urease subunit gamma,35,3,19,82,115,25,0,16,12
c1cds667,VF_0676,864,urease accessory protein UreD,9,14,9,84,220,53,29,68,57
c1cds668,,639,dipeptide ABC transporter,29,14,32,35,44,10,0,13,26
c1cds669,VF_0678,753,oligopeptide transport ATP-binding protein OppD,31,54,63,64,79,28,61,27,43
c1cds670,,765,oligopeptide transport system permease OppC,16,9,9,9,19,3,0,7,15
c1cds671,VF_0680,996,oligopeptide transport system permease OppB,16,14,17,32,13,4,30,29,42
c1cds672,VF_0681,1671,oligopeptide-binding protein OppA,40,28,24,89,63,15,36,125,112
c1cds673,VF_0682,1728,prolyl-tRNA synthetase,7562,10437,18370,17283,8672,2591,298,3278,5105
c1cds674,VF_0683,714,hypothetical protein,70,174,207,290,208,62,0,71,85
c1cds675,VF_0684,810,DL-methionine transporter substrate-binding subunit,5226,4383,4674,7699,5605,1296,359,1559,2248
c1cds676,VF_0685,678,DL-methionine transporter subunit,379,803,1072,635,374,73,9,479,529
c1cds677,VF_0686,1104,DL-methionine transporter ATP-binding subunit,606,1496,1552,1134,478,170,186,1256,1761
c1cds678,VF_0687,552,D%2CD-heptose 1%2C7-bisphosphate phosphatase,769,1262,1981,907,606,206,30,483,729
c1cds679,VF_2595,168,hypothetical protein,138,101,89,89,54,10,18,62,71
c1cds680,VF_0688,1029,oligopeptide transporter subunit,312,336,309,224,144,19,0,252,162
c1cds681,VF_0689,1053,oligopeptide transporter subunit,372,320,404,325,207,29,145,174,136
c1cds682,VF_0690,1842,oligopeptide-binding protein OppA,1025,885,1095,1390,1465,261,75,289,293
c1cds683,VF_0691,1005,oligopeptide transport ATP-binding protein OppD,544,348,466,645,656,126,52,108,155
c1cds684,VF_0692,969,oligopeptide transport ATP-binding protein OppF,293,181,222,413,383,75,0,117,85
c1cds685,VF_0693,330,lipoprotein,2064,1277,1245,330,375,59,51,244,546
c1cds686,VF_0694,609,hypothetical protein,64,265,298,125,148,47,51,78,74
c1cds687,VF_0695,1251,serine hydroxymethyltransferase,14434,13885,19488,50421,21637,4540,588,3705,5519
c1cds688,VF_0696,4710,accessory colonization factor AcfD-like protein,1460,1414,1615,8485,4151,1456,166,883,1455
c1cds689,VF_0697,327,lipoprotein,5518,4593,2959,3251,3617,505,271,1208,1863
c1cds690,VF_0698,1989,methyl-accepting chemotaxis protein,289,1152,1011,184,1196,234,152,194,237
c1cds691,VF_0699,450,transcriptional regulator NrdR,929,1262,1385,742,1481,296,9,511,806
c1cds692,VF_0700,1119,bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase%2F5-amino-6-%285-phosphoribosylamino%29 uracil reductase,1691,2664,3131,1550,1635,514,43,539,876
c1cds693,VF_0701,657,riboflavin synthase subunit alpha,1225,1794,2404,1173,1242,312,123,357,561
c1cds694,VF_0702,1110,3%2C4-dihydroxy-2-butanone-4-phosphate synthase,6084,8106,8937,8130,10476,2560,360,2492,4085
c1cds695,VF_0703,471,6%2C7-dimethyl-8-ribityllumazine synthase,1598,3422,4062,4511,3066,706,94,1248,1926
c1cds696,VF_0704,468,transcription antitermination protein NusB,1363,2400,3618,3087,1989,675,117,908,1408
c1cds697,VF_0705,999,thiamin-monophosphate kinase,232,303,260,501,318,148,123,280,125
c1cds698,VF_0706,504,phosphatidylglycerophosphatase A,193,723,593,532,1054,166,0,476,550
c1cds699,VF_0707,1119,periplasmic AI-2 binding protein LuxP,325,604,323,418,419,145,30,511,490
c1cds700,VF_0708,2235,membrane-bound sensor histidine kinase LuxQ,182,236,128,204,102,38,91,162,99
c1cds701,VF_0709,279,hypothetical protein,232,86,82,69,32,18,118,97,74
c1cds702,VF_0710,351,antibiotic biosynthesis monooxygenase domain-containing protein,515,192,162,311,157,69,48,232,130
c1cds703,VF_0711,1884,1-deoxy-D-xylulose-5-phosphate synthase,4766,3508,4644,6115,2307,705,149,1106,2012
c1cds704,VF_0712,906,geranyltranstransferase,348,650,737,2102,910,274,156,846,1122
c1cds705,VF_0713,243,exodeoxyribonuclease VII small subunit,63,276,278,309,153,47,0,214,343
c1cds706,VF_0714,765,flagellar motor protein PomA,755,2412,2049,1362,1336,403,36,157,172
c1cds707,VF_0715,930,flagellar motor protein MotB,1355,5255,5035,2540,2243,539,26,244,339
c1cds708,VF_0716,1449,thiamine biosynthesis protein ThiI,1081,4369,6965,3353,1981,517,264,2346,2672
c1cds709,VF_0717,591,hypothetical protein,3178,1224,1435,933,1145,261,67,429,1037
c1cds710,VF_0718,906,2-dehydropantoate 2-reductase,94,101,116,164,67,33,9,50,80
c1cds711,VF_0719,774,hypothetical protein,1750,2332,3256,66289,24937,6377,449,2358,2711
c1cds712,VF_0720,1344,muropeptide transporter AmpG,650,979,1206,1107,579,201,47,397,404
c1cds713,VF_0721,561,peptidyl-prolyl cis-trans isomerase,2614,4194,5736,3302,3092,1018,77,1420,2268
c1cds714,VF_0722,570,lipoprotein,750,580,532,2464,1102,691,54,665,371
c1cds715,VF_0723,1149,methyltransferase small subunit,734,938,1166,2069,1890,555,76,384,619
c1cds716,VF_0724,315,regulator of penicillin binding proteins and beta lactamase transcription %28morphogene%29,766,974,897,1357,1146,341,112,619,583
c1cds717,VF_0725,1398,Na%28%2B%29-translocating NADH-quinone reductase subunit A,12484,28597,44254,67698,35847,10534,803,9068,16296
c1cds718,VF_0726,1245,Na%28%2B%29-translocating NADH-quinone reductase subunit B,6675,14330,25032,35344,18513,5479,397,2535,4838
c1cds719,VF_0727,768,Na%28%2B%29-translocating NADH-quinone reductase subunit C,7625,15512,26331,31941,18228,5050,432,2041,4315
c1cds720,VF_0728,633,Na%28%2B%29-translocating NADH-quinone reductase subunit D,5579,10970,15578,21388,12869,3264,110,1470,2574
c1cds721,VF_0729,597,Na%28%2B%29-translocating NADH-quinone reductase subunit E,7868,10872,13704,24940,12349,3617,202,1448,2100
c1cds722,VF_0731,1227,Na%28%2B%29-translocating NADH-quinone reductase subunit F,14666,29471,39907,40915,38216,9203,238,3101,5479
c1cds723,VF_0732,1035,thiamine biosynthesis lipoprotein,6104,6028,6906,4358,2073,461,198,1010,2757
c1cds724,VF_0733,234,hypothetical protein,2660,2935,2962,412,268,52,56,769,1305
c1cds725,VF_0734,1098,DNA polymerase IV,214,222,207,505,297,75,19,102,155
c1cds726,VF_0735,1212,alanine racemase,1588,1473,1621,3298,1523,527,157,679,1137
c1cds727,VF_0736,1455,aminoacyl-histidine dipeptidase,3140,1841,2757,17459,14182,3545,187,803,1320
c1cds728,VF_0737,1293,hypothetical protein,484,429,409,2499,999,338,26,460,517
c1cds729,VF_0738,459,xanthine-guanine phosphoribosyltransferase,2154,2889,4481,3394,2218,589,88,1460,2755
c1cds730,VF_0739,1239,fermentation%2Frespiration switch protein,1211,1246,1451,1985,3200,795,50,481,920
c1cds731,VF_0740,1110,gamma-glutamyl kinase,1703,1357,1499,2924,3874,1127,197,510,810
c1cds732,VF_0741,1242,gamma-glutamyl phosphate reductase,1565,1356,1717,4031,3784,1019,152,636,942
c1cds733,VF_0742,966,lipoyl synthase,1811,2849,4097,4292,1853,466,2,365,661
c1cds734,VF_0743,678,lipoate-protein ligase B,642,1103,1460,1749,875,242,195,626,914
c1cds735,VF_0744,270,hypothetical protein,5964,3248,2992,1824,957,316,37,891,1293
c1cds736,VF_0745,1176,D-alanyl-D-alanine carboxypeptidase,3980,7448,9744,9318,4483,1280,461,2779,4312
c1cds737,VF_0746,810,minor lipoprotein,187,202,187,734,317,140,37,96,132
c1cds738,VF_0747,1122,cell wall shape-determining protein,250,204,232,722,269,98,40,116,185
c1cds739,VF_0748,1881,transpeptidase,727,554,682,1167,579,248,15,193,308
c1cds740,VF_0749,471,rRNA large subunit methyltransferase,280,286,454,676,489,150,15,127,277
c1cds741,VF_0750,324,hypothetical protein,498,272,278,764,464,166,6,192,245
c1cds742,VF_0751,1035,DNA polymerase III subunit delta,319,298,339,1295,653,213,245,298,585
c1cds743,VF_0752,558,lipoprotein component of outer membrane LPS assembly complex,602,605,592,1135,644,195,297,275,609
c1cds744,VF_0753,2577,leucyl-tRNA synthetase,5121,7419,11009,24037,10767,3080,328,2830,4617
c1cds745,VF_0754,483,hypothetical protein,4679,6291,4772,2590,9103,1741,397,2661,6056
c1cds746,VF_0755,1515,apolipoprotein N-acyltransferase,560,638,722,609,423,138,20,163,283
c1cds747,VF_0756,879,ion transport protein,9104,12673,17476,8490,8743,2232,375,3690,7520
c1cds748,VF_0757,462,metalloprotease,2109,1318,1678,1992,1353,558,104,613,1120
c1cds749,VF_0758,1185,PhoH-like protein,2595,1877,1956,4388,3975,1469,63,885,1624
c1cds750,VF_0759,1425,%28dimethylallyl%29adenosine tRNA methylthiotransferase,606,2313,3878,7421,3532,898,198,1038,1610
c1cds751,VF_0760,1158,2-octaprenyl-3-methyl-6-methoxy-1%2C4-benzoquinol hydroxylase,1521,1255,1395,949,1219,348,95,396,587
c1cds752,VF_0762,1092,GTP-dependent nucleic acid-binding protein EngD,2881,3044,4873,6730,3000,878,49,1398,1934
c1cds753,VF_0763,471,peptidyl-tRNA hydrolase,829,885,1543,1194,713,225,34,445,703
c1cds754,VF_0764,999,ribose-phosphate pyrophosphokinase,2784,5584,8366,9778,5833,1425,156,2024,3167
c1cds755,VF_0765,867,4-diphosphocytidyl-2-C-methyl-D-erythritol kinase,629,443,545,637,380,152,44,71,136
c1cds756,VF_0766,627,molecular chaperone LolB,387,254,296,222,180,62,168,116,303
c1cds757,VF_0767,1257,glutamyl-tRNA reductase,496,1078,1314,1747,833,284,279,1261,1576
c1cds758,VF_0768,1089,peptide chain release factor 1,796,1249,1661,4835,2194,583,52,716,1077
c1cds759,VF_0769,855,N5-glutamine methyltransferase%2C modifies release factors RF-1 and RF-2,617,821,1063,2651,1108,358,126,476,796
c1cds760,VF_0770,384,transcriptional regulator,270,255,150,787,273,116,64,218,103
c1cds761,VF_0771,813,transcriptional regulator,1156,1207,1416,2283,1186,427,158,707,980
c1cds762,VF_0772,855,2-dehydro-3-deoxyphosphooctonate aldolase,2098,2666,3544,7791,5649,1459,204,1503,2331
c1cds763,VF_0773,777,uroporphyrin-III C-methyltransferase,686,390,430,345,368,102,47,136,245
c1cds764,VF_0774,810,nitrite transporter,143,112,129,145,267,140,25,97,102
c1cds765,VF_0775,330,nitrite reductase small subunit,106,107,151,213,558,371,0,46,75
c1cds766,VF_0776,2577,nitrite reductase%2C large subunit%2C NAD%28P%29H-binding,373,561,910,3749,668,580,0,134,259
c1cds767,VF_0777,1875,methyl-accepting chemotaxis protein,2663,3808,4244,34108,24693,6202,99,345,737
c1cds768,VF_0778,1659,bifunctional UDP-sugar hydrolase%2F5%27-nucleotidase periplasmic,8295,13127,15710,68259,42430,11812,1287,5076,7197
c1cds769,VF_0779,585,hypothetical protein,1778,331,381,378,297,75,106,77,152
c1cds770,VF_0780,438,copper amine oxidase N-terminal protein,49719,359,578,719,957,181,631,1892,4667
c1cds771,VF_0781,2682,copper transporter,96445,665,1766,1177,4723,1002,2686,9934,22843
c1cds772,VF_0782,402,DNA-binding transcriptional activator of copper-responsive regulon genes,345,126,139,189,233,79,83,153,214
c1cds773,VF_0783,855,thioredoxin,2347,1617,1666,2331,1036,358,45,365,860
c1cds774,VF_0784,828,short chain dehydrogenase,192,129,139,205,124,41,84,63,139
c1cds775,VF_0785,1008,glycine betaine transporter periplasmic subunit,401,564,699,755,288,53,67,211,120
c1cds776,VF_0786,1083,glycine betaine transporter subunit,88,193,309,305,43,12,68,61,31
c1cds777,VF_0787,1188,glycine betaine transporter subunit,100,260,396,532,129,37,66,438,255
c1cds778,VF_0788,906,hypothetical protein,5125,2390,2126,741,526,139,151,617,1119
c1cds779,VF_0789,552,phosphodiesterase,1584,808,820,750,302,128,71,260,524
c1cds780,VF_0790,546,regulatory protein ToxS,2387,1766,1890,2339,2004,619,23,615,793
c1cds781,VF_0791,882,transcriptional activator ToxR,2994,2443,2673,3975,3434,936,586,1016,1866
c1cds782,VF_0792,1896,heat shock protein 90,6253,3104,3387,24735,18389,5813,279,2317,4547
c1cds783,VF_0793,645,adenylate kinase,2757,8314,5708,10584,5390,1327,94,2039,2576
c1cds784,VF_0794,969,ferrochelatase,448,719,942,2935,1523,392,134,451,621
c1cds785,VF_0795,1299,trigger factor,7615,10284,17434,57636,20262,6402,351,5178,9939
c1cds786,VF_0796,624,ATP-dependent Clp protease proteolytic subunit,4107,2512,3110,13304,11748,3513,136,1815,2786
c1cds787,VF_0797,1287,ATP-dependent protease ATP-binding subunit ClpX,48456,35035,41889,31147,25231,7076,1538,11528,24160
c1cds788,VF_0798,2355,DNA-binding ATP-dependent protease Lon %28La%29,10531,7036,7480,30814,18059,5722,928,3337,7438
c1cds789,VF_0799,297,HU%2C DNA-binding transcriptional regulator subunit beta,4906,3922,4288,18518,12052,2771,388,3626,4750
c1cds790,VF_0800,1857,peptidyl-prolyl cis-trans isomerase,5724,4986,7230,12304,5681,1804,393,2810,4307
c1cds791,VF_0801,303,competence protein ComE,275,36,50,30,23,2,0,31,32
c1cds792,VF_0802,1356,di-%2Ftripeptide transporter,1523,1715,2127,1462,933,373,24,331,658
c1cds793,VF_0803,495,transcriptional activator RfaH,1189,1652,1523,1034,853,249,22,502,581
c1cds794,VF_0804,1668,asparagine synthetase B,692,531,667,3223,2167,594,125,617,767
c1cds795,VF_0805,1605,glutathione-regulated potassium-efflux system protein KefC,1004,1032,1161,1285,827,202,65,243,350
c1cds796,VF_0806,1215,DNA-binding transcriptional dual regulator,2559,5162,6024,6317,6597,1716,134,2203,3430
c1cds797,VF_0807,1137,N-acetylglucosamine-6-phosphate deacetylase,625,1102,1418,1654,1777,492,595,755,1452
c1cds798,VF_0808,1494,PTS system N-acetyl glucosamine specific transporter subunit IICB%5C,2194,6408,5887,27820,21782,5335,381,4767,9218
c1cds799,VF_0809,1659,glutaminyl-tRNA synthetase,4503,5697,7412,19726,15221,4365,352,3857,4882
c1cds800,VF_0810,444,ferric uptake regulator,4386,2559,3575,2841,953,399,137,1728,2413
c1cds801,VF_0811,465,hypothetical protein,522,349,604,91,76,18,515,650,719
c1cds802,VF_0812,528,flavodoxin FldA,2434,4034,4695,4668,2571,653,33,1737,2578
c1cds803,VF_0813,222,hypothetical protein,842,1477,1223,631,440,102,132,677,749
c1cds804,VF_0814,777,esterase%2Flipase YbfF,2145,1422,1335,520,312,83,125,509,912
c1cds805,VF_0815,543,replication initiation regulator SeqA,571,2265,2640,2341,2115,545,153,745,1030
c1cds806,VF_0816,1647,phosphoglucomutase,2270,5247,7709,15382,12855,3467,272,1336,1734
c1cds807,VF_0817,756,metal-binding protein,607,404,473,963,790,213,34,125,134
c1cds808,VF_0818,1290,type II citrate synthase,5846,19130,20560,30232,25546,3504,204,3232,5325
c1cds809,VF_0819,402,succinate dehydrogenase cytochrome b556 large membrane subunit,838,1331,1362,7513,7553,1022,60,960,1260
c1cds810,VF_0820,348,succinate dehydrogenase%2C membrane subunit%2C binds cytochrome b556,315,427,454,2991,2070,338,95,290,411
